Id,Precinct,For,Against,Totals,TabName,CountyOBJECTID,Cnty_Name,Cnty_No,CountyFIPS
415,Fremont 2E,363,160,523,Dodge,27,Dodge,27,53
416,Fremont 3A,208,97,305,Dodge,27,Dodge,27,53
417,Fremont 3B,131,71,202,Dodge,27,Dodge,27,53
418,Fremont 3C,217,125,342,Dodge,27,Dodge,27,53
419,Fremont 3D,325,185,510,Dodge,27,Dodge,27,53
420,Fremont 3E,358,198,556,Dodge,27,Dodge,27,53
421,Fremont 4A,394,189,583,Dodge,27,Dodge,27,53
422,Fremont 4B,252,161,413,Dodge,27,Dodge,27,53
423,Fremont 4C,562,228,790,Dodge,27,Dodge,27,53
424,Fremont 4D,612,268,880,Dodge,27,Dodge,27,53
425,Fremont 4E,174,91,265,Dodge,27,Dodge,27,53
426,City of North Bend,366,192,558,Dodge,27,Dodge,27,53
427,City of Scribner,252,166,418,Dodge,27,Dodge,27,53
428,Cuming/Everett Townships,139,95,234,Dodge,27,Dodge,27,53
429,Webster Township,231,145,376,Dodge,27,Dodge,27,53
430,Pebble Township,122,101,223,Dodge,27,Dodge,27,53
431,Platte East,184,90,274,Dodge,27,Dodge,27,53
432,Platte West,405,257,662,Dodge,27,Dodge,27,53
433,Nickerson/Maple Townships,312,193,505,Dodge,27,Dodge,27,53
434,City of Hooper,291,140,431,Dodge,27,Dodge,27,53
435,Hooper/Logan Townships,228,190,418,Dodge,27,Dodge,27,53
436,Elkhorn Township,114,78,192,Dodge,27,Dodge,27,53
437,Union/Cott/Ridg/PV Townships,314,234,548,Dodge,27,Dodge,27,53
438,(Countywide) Burt County PPD,0,0,0,Dodge,27,Dodge,27,53
439,(Countywide) Cuming PPD,0,0,0,Dodge,27,Dodge,27,53
440,01-02,834,313,1147,Douglas,28,Douglas,28,55
441,01-03,699,175,874,Douglas,28,Douglas,28,55
442,01-04,767,245,1012,Douglas,28,Douglas,28,55
443,01-05,839,205,1044,Douglas,28,Douglas,28,55
444,01-07,1025,235,1260,Douglas,28,Douglas,28,55
445,01-08,997,212,1209,Douglas,28,Douglas,28,55
446,01-09,696,170,866,Douglas,28,Douglas,28,55
447,01-10,417,145,562,Douglas,28,Douglas,28,55
448,01-11,747,223,970,Douglas,28,Douglas,28,55
449,01-12,84,33,117,Douglas,28,Douglas,28,55
450,01-13,1113,272,1385,Douglas,28,Douglas,28,55
451,01-14,1385,195,1580,Douglas,28,Douglas,28,55
452,01-15,1141,312,1453,Douglas,28,Douglas,28,55
453,01-16,666,210,876,Douglas,28,Douglas,28,55
454,01-17,977,172,1149,Douglas,28,Douglas,28,55
455,01-18,1348,212,1560,Douglas,28,Douglas,28,55
456,01-19,1001,197,1198,Douglas,28,Douglas,28,55
457,01-20,782,235,1017,Douglas,28,Douglas,28,55
458,01-21,933,222,1155,Douglas,28,Douglas,28,55
459,01-22,773,211,984,Douglas,28,Douglas,28,55
460,01-23,762,206,968,Douglas,28,Douglas,28,55
